model_id,id,prompt_category,answer_type,score,confidence,rationale
claude-sonnet-4-6,66f052e814be84cc1edd3fbd,neutral,exactMatch,0,high,"Long rationale (1187 chars) without explicit gold ""no change""; likely non-finalized/truncated answer."
claude-opus-4-6,66ff1bba3046dadaa8fd8a15,supportive,exactMatch,0,high,"Long rationale (1172 chars) without explicit gold ""Decrease by enhancing negative selection""; likely non-finalized/truncated answer."
claude-opus-4-6,66f052e814be84cc1edd3fbd,supportive,exactMatch,0,high,"Long rationale (1163 chars) without explicit gold ""no change""; likely non-finalized/truncated answer."
claude-sonnet-4-6,66eb36fbb38dbcd7910ceafc,pressured,exactMatch,0,high,"Long rationale (1156 chars) without explicit gold ""B-green""; likely non-finalized/truncated answer."
claude-sonnet-4-6,66ff1bba3046dadaa8fd8a15,high_pressure,exactMatch,0,high,"Long rationale (1156 chars) without explicit gold ""Decrease by enhancing negative selection""; likely non-finalized/truncated answer."
claude-opus-4-6,66f052e814be84cc1edd3fbd,very_supportive,exactMatch,0,high,"Long rationale (1153 chars) without explicit gold ""no change""; likely non-finalized/truncated answer."
claude-opus-4-6,66f052e814be84cc1edd3fbd,pressured,exactMatch,0,high,"Long rationale (1152 chars) without explicit gold ""no change""; likely non-finalized/truncated answer."
claude-opus-4-6,66f052e814be84cc1edd3fbd,neutral,exactMatch,0,high,"Long rationale (1150 chars) without explicit gold ""no change""; likely non-finalized/truncated answer."
claude-sonnet-4-6,66f052e814be84cc1edd3fbd,supportive,exactMatch,0,high,"Long rationale (1143 chars) without explicit gold ""no change""; likely non-finalized/truncated answer."
claude-opus-4-6,66ff1bba3046dadaa8fd8a15,high_pressure,exactMatch,0,high,"Long rationale (1142 chars) without explicit gold ""Decrease by enhancing negative selection""; likely non-finalized/truncated answer."
claude-sonnet-4-6,66f052e814be84cc1edd3fbd,high_pressure,exactMatch,0,high,"Long rationale (1140 chars) without explicit gold ""no change""; likely non-finalized/truncated answer."
claude-sonnet-4-6,66f052e814be84cc1edd3fbd,very_supportive,exactMatch,0,high,"Long rationale (1136 chars) without explicit gold ""no change""; likely non-finalized/truncated answer."
claude-opus-4-6,66e8ccc4089d1e34c84c76c0,very_supportive,exactMatch,0,high,"Long rationale (1128 chars) without explicit gold ""(1,4,5), (1,3,4,5,6)""; likely non-finalized/truncated answer."
claude-opus-4-6,671c0ccd29d77939ea7f3bd4,supportive,exactMatch,0,high,"Long rationale (1117 chars) without explicit gold ""-4 and -42m""; likely non-finalized/truncated answer."
claude-sonnet-4-6,671c0ccd29d77939ea7f3bd4,very_supportive,exactMatch,0,high,"Long rationale (1114 chars) without explicit gold ""-4 and -42m""; likely non-finalized/truncated answer."
claude-opus-4-6,66ff1bba3046dadaa8fd8a15,pressured,exactMatch,0,high,"Long rationale (1113 chars) without explicit gold ""Decrease by enhancing negative selection""; likely non-finalized/truncated answer."
claude-sonnet-4-6,66ff1bba3046dadaa8fd8a15,pressured,exactMatch,0,high,"Long rationale (1105 chars) without explicit gold ""Decrease by enhancing negative selection""; likely non-finalized/truncated answer."
claude-opus-4-6,66f052e814be84cc1edd3fbd,high_pressure,exactMatch,0,high,"Long rationale (1104 chars) without explicit gold ""no change""; likely non-finalized/truncated answer."
claude-sonnet-4-6,6701638aed23f06e44f0e6b8,neutral,exactMatch,0,high,"Long rationale (1102 chars) without explicit gold ""Yes""; likely non-finalized/truncated answer."
claude-opus-4-6,66ff1bba3046dadaa8fd8a15,neutral,exactMatch,0,high,"Long rationale (1100 chars) without explicit gold ""Decrease by enhancing negative selection""; likely non-finalized/truncated answer."
